Date,energy_price
2021-10-01,216.92972559926667
2021-10-02,256.9401736282
2021-10-03,282.06506545565
2021-10-04,286.5261161793333
2021-10-05,278.1573253050167
2021-10-06,261.47478813811665
2021-10-07,235.8578475715167
2021-10-08,229.31369943006666
2021-10-09,219.45373283245
2021-10-10,221.3451706969
2021-10-11,225.09564642043333
2021-10-12,223.12400189323333
2021-10-13,208.5310715933
2021-10-14,205.49424441326667
2021-10-15,191.49858928411666
2021-10-16,220.47191454488333
2021-10-17,217.18447309706664
2021-10-18,224.32237860529997
2021-10-19,240.05390966315
2021-10-20,230.88983024258334
2021-10-21,233.90920963756665
2021-10-22,219.95736327173333
2021-10-23,227.0308241033167
2021-10-24,225.43219828715
2021-10-25,227.46295561543332
2021-10-26,214.0555688441167
2021-10-27,200.8129511227
2021-10-28,178.55722956681666
2021-10-29,164.81647099756665
2021-10-30,156.69595607803333
2021-10-31,144.55619944011667
2021-11-01,196.1848923010667
2021-11-02,179.53787584173335
2021-11-03,191.50186793443333
2021-11-04,204.6111244799
2021-11-05,200.5725120208
2021-11-06,256.2079004091333
2021-11-07,260.8138438411333
2021-11-08,276.6830923548334
2021-11-09,266.5984259776667
2021-12-04,136.6151858857818
2021-12-05,117.24140896644545
2021-12-06,121.51404160410002
2021-12-07,121.6087580619182
2021-12-08,108.22972705617272
2021-12-09,87.89678992392727
2021-12-10,89.27961680499091
2021-12-11,108.53990185171818
2021-12-12,118.21287444517272
2021-12-13,111.14315469432728
2021-12-14,122.19192887397271
2021-12-15,110.90622682725456
2021-12-16,133.1954516644909
2021-12-17,101.0222214665909
2021-12-18,87.27784124622727
2021-12-19,120.52724612992728
2021-12-20,92.87421484555455
2021-12-21,146.43394283750908
2021-12-22,93.1630433407909
2021-12-23,96.77357461181819
2021-12-24,89.94239193313636
2021-12-25,143.18719735811817
2021-12-26,116.92075688436363
2021-12-27,157.13289017218182
2021-12-28,152.07792464679093
2021-12-29,87.84928888169091
2021-12-30,87.2552652234
2021-12-31,87.56022412385454
2022-02-01,574.83258567045
2022-02-02,629.7531057923417
2022-02-03,679.9537093796583
2022-02-04,634.9486685760917
2022-02-05,676.1453291944416
2022-02-06,643.9751053751584
2022-02-07,620.814194177125
2022-02-08,556.7702112882668
2022-02-09,481.75792581798333
2022-02-10,422.86486397302497
2022-02-11,364.557442976475
2022-02-12,326.47418615715833
2022-02-13,301.00230614165
2022-02-14,347.09892871436665
2022-02-15,343.44634212346665
2022-02-16,339.2693636982833
2022-02-17,316.83553344370836
2022-02-18,318.4731121828583
2022-02-19,303.47578139025
2022-02-20,251.42851726848335
2022-02-21,264.8336916230333
2022-02-22,276.18328724943336
2022-02-23,251.73531832876665
2022-02-24,254.4742618483
2022-02-25,242.86275642488332
2022-02-26,251.3768528994167
2022-02-27,239.15948298125
2022-02-28,260.9013410045083
2022-04-01,281.5059189245
2022-04-02,236.78691473593335
2022-04-03,148.96921426266667
2022-04-04,175.25489261403334
2022-04-05,198.21258047786668
2022-04-06,191.269641414
2022-04-07,262.96794887463335
2022-04-08,155.8071632446
2022-04-09,137.5929980581
2022-04-10,124.94512254126666
2022-04-11,138.55301482326666
2022-04-12,129.71389086443335
2022-04-13,132.89685578906668
2022-04-14,121.88155799143333
2022-04-15,106.99859355550001
2022-04-16,119.3985517558
2022-04-17,109.60444239173334
2022-04-18,138.77986288393336
2022-04-19,186.71705213186667
2022-04-20,145.06817902276666
2022-04-21,134.4925834134667
2022-04-22,114.96640796179999
2022-04-23,113.20638320070002
2022-04-24,103.0190299081
2022-04-25,101.22364771776667
2022-04-26,106.04129026240001
2022-04-27,102.30829282893335
2022-04-28,99.71598971303332
2022-04-29,98.04276491406667
2022-04-30,97.2173048629
2022-05-01,96.83827014536666
2022-05-02,98.6379675325
2022-05-03,107.25148390829999
2022-05-04,133.7742698964
2022-05-05,105.65651377003333
2022-05-06,113.27988722723335
2022-05-07,113.8085308241
2022-05-08,109.56083914033333
2022-05-09,102.96900438663333
2022-05-10,107.4390905947
2022-05-11,101.1283887161
2022-05-12,100.3626710419
2022-05-13,101.05507902326667
2022-05-14,99.74965688743333
2022-05-15,97.12685273583334
2022-05-16,99.40693027983333
2022-05-17,112.80171103206665
2022-05-18,142.54899225213333
2022-05-19,122.09234755316668
2022-05-20,114.01577582223332
2022-05-21,107.99845906976667
2022-05-22,94.75545614193334
2022-05-23,95.95410778386666
2022-05-24,106.06156648843334
2022-05-25,99.43857048456665
2022-05-26,99.34446187036667
2022-05-27,96.4486104796
2022-05-28,95.86535293636666
2022-05-29,96.55537735836667
2022-05-30,96.52268669623334
2022-05-31,95.44073508090001
2022-06-01,116.12753334050001
2022-06-02,104.4060742114
2022-06-03,108.0229956427
2022-06-04,103.76284299763334
2022-06-05,101.2739031386
2022-06-06,100.48935112566666
2022-06-07,101.40952613713334
2022-06-08,121.1464483358
2022-06-09,107.04807132056665
2022-06-10,107.43016573476666
2022-06-11,105.99686014256667
2022-06-12,103.56202369573333
2022-06-13,101.47641312326665
2022-06-14,101.89960776553335
2022-06-15,102.13507965583334
2022-06-16,102.21124502283334
2022-06-17,101.50237157996668
2022-06-18,100.51498157946666
2022-06-19,100.08371477456666
2022-06-20,97.7506625949
2022-06-21,100.3569359424
2022-06-22,105.6404049115
2022-06-23,105.6461192301
2022-06-24,102.3262533412
2022-06-25,101.8994299161
2022-06-26,103.3703179925
2022-06-27,103.3026652704
2022-06-28,102.222442387
2022-06-29,104.28034345133334
2022-06-30,103.67066312459998
2022-07-01,103.41403763763333
2022-07-02,104.30740167706666
