date,temp_AMAZONAS,temp_ANTIOQUIA,temp_ARAUCA,temp_ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,temp_ATLANTICO,temp_BOGOTA,temp_BOLIVAR,temp_BOYACA,temp_CALDAS,temp_CAQUETA,temp_CASANARE,temp_CAUCA,temp_CESAR,temp_CHOCO,temp_CORDOBA,temp_CUNDINAMARCA,temp_GUAINIA,temp_GUAVIARE,temp_HUILA,temp_LA GUAJIRA,temp_MAGDALENA,temp_META,temp_NARINO,temp_NORTE DE SANTANDER,temp_PUTUMAYO,temp_QUINDIO,temp_RISARALDA,temp_SANTANDER,temp_SUCRE,temp_TOLIMA,temp_VALLE DEL CAUCA,temp_VICHADA
2021-01-01,31.55,25.42096666666667,5.2,30.4,30.7,18.4,38.13333333333333,19.679443,26.625405,24.74262,30.5,23.549983333333333,34.75,27.98852666666667,34.35,20.359735714285712,32.1,32.98,25.87314,30.96666666666667,35.46666666666667,29.04,25.07839,21.681314999999998,27.520000000000003,27.54500333333333,27.104734285714283,24.36346888888889,34.199999999999996,27.225654285714285,27.40284875,32.760000000000005
2021-01-02,30.5,26.882303333333336,3.6,29.4,30.85,18.8,38.4,20.031556000000002,27.392011000000004,23.92276,30.3,22.55293,34.75,26.539628333333336,34.2,20.33610642857143,33.2,32.8,26.799865999999998,29.866666666666664,34.46666666666667,30.02,23.908482499999998,19.81636,27.52,27.945296666666668,27.1678,24.619403333333334,34.03333333333333,27.573328571428572,27.04264,33.0
2021-01-03,31.049999999999997,25.902895,8.0,28.5,30.9,19.6,36.266666666666666,20.524683,26.731011000000002,24.43703,30.3,21.510063333333335,32.3,27.182151666666666,34.75,20.999119285714283,32.3,33.0,25.927528000000002,30.2,32.0,29.37,26.1046625,20.283625,29.139999999999997,26.57438666666667,26.01508857142857,24.15077,34.199999999999996,23.995194285714287,25.86007125,33.019999999999996
2021-01-04,29.1,20.80477,6.8,28.9,28.299999999999997,12.9,35.349999999999994,15.809514444444444,22.231421,25.03449,27.4,17.79819,29.75,24.492793333333335,27.55,15.427485714285714,28.1,27.339999999999996,19.7846,27.9,30.7,26.44,18.941356666666668,17.71531,24.92,21.661556666666666,22.182261428571426,20.15342375,27.866666666666664,22.47333857142857,22.429997142857143,28.560000000000002
2021-01-05,29.876582278481013,25.348907314933548,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,19.99431322894534,22.79766317931104,28.629755802095026,29.757340112577364,23.80821115968966,32.477425373165055,27.599232812402224,32.421682648746604,20.19687099817528,32.31435406698564,31.84526315789474,25.81933494562713,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,23.930613882999342,33.37085289514867,26.168398567268973,26.897230447603935,31.009230769230772
2021-01-06,29.876582278481013,25.348907314933548,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,19.99431322894534,22.79766317931104,28.629755802095026,29.757340112577364,23.80821115968966,32.477425373165055,27.599232812402224,32.421682648746604,20.19687099817528,32.31435406698564,31.84526315789474,25.81933494562713,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,23.930613882999342,33.37085289514867,26.168398567268973,26.897230447603935,31.009230769230772
2021-01-07,29.876582278481013,25.348907314933548,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,19.99431322894534,22.79766317931104,28.629755802095026,29.757340112577364,23.80821115968966,32.477425373165055,27.599232812402224,32.421682648746604,20.19687099817528,32.31435406698564,31.84526315789474,25.81933494562713,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,23.930613882999342,33.37085289514867,26.168398567268973,26.897230447603935,31.009230769230772
2021-01-08,29.876582278481013,25.348907314933548,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,19.99431322894534,22.79766317931104,28.629755802095026,29.757340112577364,23.80821115968966,32.477425373165055,27.599232812402224,32.421682648746604,20.19687099817528,32.31435406698564,31.84526315789474,25.81933494562713,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,23.930613882999342,33.37085289514867,26.168398567268973,26.897230447603935,31.009230769230772
2021-01-09,31.8,24.59811142857143,19.033333333333335,28.9,30.9,19.266666666666666,32.725,18.455256153846154,24.88442890909091,26.70127,26.25,22.078596666666666,33.6,26.145893333333333,30.075,19.512344090909092,31.5,30.380000000000003,24.0611525,30.766666666666666,34.1,25.4925,23.534404000000002,23.30721875,26.18,26.209609999999998,24.494615,20.806425,33.13333333333333,25.449357,26.19499,30.46
2021-01-10,32.25,26.983030000000003,20.233333333333334,29.8,31.9,18.53333333333333,33.45,19.96783769230769,26.585964818181818,27.45872,27.4,23.34845,34.2,27.433034,32.725,20.491951818181818,31.4,32.6,26.19293875,31.166666666666668,33.833333333333336,27.002,24.052553999999997,23.93422875,29.72,28.15801,27.06575375,23.021465625,33.9,26.623829,28.393411111111114,30.9
2021-01-11,32.95,25.4858,21.53333333333333,28.3,33.7,19.0,34.4,19.437816923076923,26.149603636363636,27.14564,28.6,23.505503333333333,33.7,28.248368,32.675,20.00295909090909,31.4,32.68,26.2249975,31.5,35.86666666666667,27.252,23.91168,23.65153875,29.5,27.071143333333335,26.721486249999998,21.440523125,33.46666666666667,26.512605,27.5882,33.32
