date,temp_AMAZONAS,temp_ARAUCA,temp_ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,temp_ATLANTICO,temp_BOGOTA,temp_BOLIVAR,temp_CAQUETA,temp_CASANARE,temp_CESAR,temp_CHOCO,temp_GUAINIA,temp_GUAVIARE,temp_LA GUAJIRA,temp_MAGDALENA,temp_META,temp_NARINO,temp_NORTE DE SANTANDER,temp_PUTUMAYO,temp_QUINDIO,temp_RISARALDA,temp_SUCRE,temp_VICHADA,temp_avg_represas
2021-01-01,31.55,5.2,30.4,30.7,18.4,38.13333333333333,24.74262,30.5,34.75,27.98852666666667,32.1,32.98,30.96666666666667,35.46666666666667,29.04,25.07839,21.681314999999998,27.520000000000003,27.54500333333333,27.104734285714283,34.199999999999996,32.760000000000005,25.485064563888887
2021-01-02,30.5,3.6,29.4,30.85,18.8,38.4,23.92276,30.3,34.75,26.539628333333336,33.2,32.8,29.866666666666664,34.46666666666667,30.02,23.908482499999998,19.81636,27.52,27.945296666666668,27.1678,34.03333333333333,33.0,25.743014466666665
2021-01-03,31.049999999999997,8.0,28.5,30.9,19.6,36.266666666666666,24.43703,30.3,32.3,27.182151666666666,32.3,33.0,30.2,32.0,29.37,26.1046625,20.283625,29.139999999999997,26.57438666666667,26.01508857142857,34.199999999999996,33.019999999999996,25.03513351547619
2021-01-04,29.1,6.8,28.9,28.299999999999997,12.9,35.349999999999994,25.03449,27.4,29.75,24.492793333333335,28.1,27.339999999999996,27.9,30.7,26.44,18.941356666666668,17.71531,24.92,21.661556666666666,22.182261428571426,27.866666666666664,28.560000000000002,20.44627406230159
2021-01-05,29.876582278481013,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,28.629755802095026,29.757340112577364,32.477425373165055,27.599232812402224,32.31435406698564,31.84526315789474,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,33.37085289514867,31.009230769230772,24.738322637330086
2021-01-06,29.876582278481013,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,28.629755802095026,29.757340112577364,32.477425373165055,27.599232812402224,32.31435406698564,31.84526315789474,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,33.37085289514867,31.009230769230772,24.738322637330086
2021-01-07,29.876582278481013,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,28.629755802095026,29.757340112577364,32.477425373165055,27.599232812402224,32.31435406698564,31.84526315789474,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,33.37085289514867,31.009230769230772,24.738322637330086
2021-01-08,29.876582278481013,11.914956245027845,30.49709367945824,32.67106739526412,18.60561409063439,32.1555098197471,28.629755802095026,29.757340112577364,32.477425373165055,27.599232812402224,32.31435406698564,31.84526315789474,32.18214084577865,30.776464703864125,28.069518986674048,20.90987189344442,25.669595794438024,27.87782086178862,26.155205210519664,26.179868349254267,33.37085289514867,31.009230769230772,24.738322637330086
2021-01-09,31.8,19.033333333333335,28.9,30.9,19.266666666666666,32.725,26.70127,26.25,33.6,26.145893333333333,31.5,30.380000000000003,30.766666666666666,34.1,25.4925,23.534404000000002,23.30721875,26.18,26.209609999999998,24.494615,33.13333333333333,30.46,23.611566174908425
2021-01-10,32.25,20.233333333333334,29.8,31.9,18.53333333333333,33.45,27.45872,27.4,34.2,27.433034,31.4,32.6,31.166666666666668,33.833333333333336,27.002,24.052553999999997,23.93422875,29.72,28.15801,27.06575375,33.9,30.9,25.433387881478243
2021-01-11,32.95,21.53333333333333,28.3,33.7,19.0,34.4,27.14564,28.6,33.7,28.248368,31.4,32.68,31.5,35.86666666666667,27.252,23.91168,23.65153875,29.5,27.071143333333335,26.721486249999998,33.46666666666667,33.32,24.902300860868298
2021-01-12,31.549999999999997,22.666666666666668,30.0,30.2,20.766666666666666,34.5,27.82386,28.9,35.2,28.036160000000002,33.5,32.64,31.03333333333333,33.96666666666667,29.026,24.212128,25.19322125,30.02,29.54295666666667,27.49161,34.6,30.4,26.77845990428321
2021-01-13,28.1,23.5,29.4,33.4,22.53333333333333,34.5,28.13843,29.65,36.35,28.541006,34.3,33.3,32.733333333333334,35.13333333333333,29.663999999999998,27.624344999999998,26.103303750000002,30.040000000000003,29.200343333333333,27.823315,34.4,30.459999999999997,27.12452205748435
2021-01-14,31.0,23.566666666666666,29.6,30.9,22.0,34.775,29.122335,29.35,35.900000000000006,26.69973,34.2,32.800000000000004,32.733333333333334,35.333333333333336,29.798000000000002,24.6356475,26.73331,29.96,28.46463,26.87501875,34.86666666666667,29.079999999999995,26.51605522713104
2021-01-15,32.25,24.333333333333332,29.9,32.0,21.733333333333334,35.075,29.5502,30.3,34.6,26.538502,35.1,32.92,31.966666666666665,36.65,30.168,27.189065,27.11496,29.860000000000003,29.045983333333336,27.39931625,34.4,29.079999999999995,26.439336375403354
2021-01-16,32.7,24.166666666666668,29.8,32.7,20.7,34.2,29.05105,29.049999999999997,35.5,27.063893999999998,33.8,32.92,31.733333333333334,35.86666666666667,29.410000000000004,26.0442525,26.49751625,29.920000000000005,29.89627333333333,27.4911525,34.36666666666667,28.5,26.619497518777145
