date,unidadmedida,amazonas,antioquia,arauca,atlantico,bogota,bolivar,boyaca,caldas,caqueta,casanare,cauca,cesar,choco,cordoba,cundinamarca,guainia,guaviare,huila,la guajira,magdalena,meta,narino,norte de santander,putumayo,quindio,risaralda,san andres providencia,santander,sucre,tolima,valle del cauca,vaupes,vichada
2021-01-20,mm,0.11,233.548,17.0,11.71,0.1,1.26,41.3,0.0,0.0,3.0,80.6,0.0,1010.5,41.8,320.0,0.0,5.676525821596243,1.6,0.2,8.54,0.0,46.374,0.0,18.599999999999998,0.0,1.5,7.8,0.22,5.699999999999999,0.1,29.599999999999998,0.0,7.151162790697675
2021-01-21,mm,3.75,234.971,23.8,8.24,0.0,4.55,61.4,0.0,1.1,1.4,96.9,0.0,1028.1,32.400000000000006,50.504999999999995,20.3,5.676525821596243,0.4,0.1,15.41,0.0,113.747,0.09,6.2,2.0,0.7,0.0,1.96,8.1,0.0,78.9,0.0,7.151162790697675
2021-01-22,mm,36.82,228.267,13.9,11.889999999999999,0.15000000000000002,2.5500000000000003,21.1,205.5,79.4,4.4,33.5,0.0,1063.1,0.0,102.99,18.3,5.676525821596243,38.3,0.0,15.84,20.4,46.199999999999996,9.91,147.2,3.1,21.541,0.0,15.14,6.7,101.1,100.825,4.3,7.151162790697675
2021-01-23,mm,26.6,246.793,15.8,3.84,6.24,1.43,40.55,316.8,18.9,1.3,4.0,0.0,1014.4,0.5,122.49900000000001,1.2,5.676525821596243,29.000000000000004,0.2,11.399999999999999,8.7,23.942999999999998,0.0,7.2,0.7,55.134,0.0,38.92,5.8,67.10000000000001,48.938,0.2,7.151162790697675
2021-01-24,mm,0.0,288.915,20.200000000000003,9.14,0.18,4.24,15.100000000000001,23.7,0.6000000000000001,1.6,12.9,0.0,950.3000000000001,11.5,73.289,0.5,5.676525821596243,7.8,0.1,14.55,20.939999999999998,45.873000000000005,6.2,7.0,0.0,1.304,0.0,13.16,8.9,25.9,89.50800000000001,2.7,7.151162790697675
2021-01-25,mm,2.1,248.095,14.8,13.2,2.61,0.0,38.6,4.499999999999999,32.4,3.0,59.300000000000004,0.0,1050.0,2.5,69.50699999999999,0.0,5.676525821596243,32.7,0.0,13.09,2.58,48.641,9.360000000000001,28.0,0.1,1.9,0.0,6.379999999999999,6.7,53.9,42.1,0.7,7.151162790697675
2021-01-26,mm,26.86,216.719,17.3,10.23,0.1,3.1,9.100000000000001,0.0,4.6,1.9000000000000001,26.6,0.0,996.0999999999999,0.1,78.65,0.0,5.676525821596243,29.6,0.0,21.53,0.8,24.442,0.0,2.6,0.0,2.8000000000000003,0.0,0.22,7.3,17.2,89.64699999999999,0.9,7.151162790697675
2021-01-27,mm,26.15,263.163,16.0,10.7,0.03,4.14,7.8,10.3,0.1,2.0,1.2,0.0,997.9,0.4,47.0,27.0,5.676525821596243,0.2,0.1,7.89,0.2,25.23,0.0,7.6,0.0,10.807,0.0,1.6199999999999999,4.4,7.4,0.504,1.9,7.151162790697675
2021-01-28,mm,29.27,238.081,18.7,11.7,0.16,2.79,23.9,98.7,0.0,1.1,54.300000000000004,0.0,1031.3,42.5,172.4,0.1,5.676525821596243,20.1,0.1,16.35,0.0,74.37,0.0,0.2,0.0,7.346,0.0,0.52,5.8,125.10000000000001,58.4,0.0,7.151162790697675
2021-01-29,mm,9.940000000000001,237.022,38.900000000000006,11.87,0.0,0.44,176.79999999999998,76.4,1.4,1.6,11.4,0.0,995.0999999999999,63.6,111.806,0.0,5.676525821596243,49.50000000000001,0.2,17.479999999999997,0.88,144.644,0.0,1.4,0.0,73.886,0.0,13.32,7.7,9.3,29.4,0.0,7.151162790697675
2021-01-30,mm,17.12,254.025,43.0,12.49,0.05,0.88,260.09999999999997,0.0,0.0,2.7,63.0,0.0,980.0999999999999,55.2,985.8,0.0,5.676525821596243,2.0,0.1,15.46,0.47,49.434000000000005,0.0,1.0,0.0,0.0,0.0,0.1,6.8999999999999995,0.4,19.8,0.0,7.151162790697675
